_embedded_show_id,_embedded_show_url,_embedded_show_name,_embedded_show_type,_embedded_show_language,_embedded_show_genres,_embedded_show_status,_embedded_show_runtime,_embedded_show_averageRuntime,_embedded_show_premiered,_embedded_show_ended,_embedded_show_officialSite,_embedded_show_weight,_embedded_show_network,_embedded_show_dvdCountry,_embedded_show_summary,_embedded_show_updated
41648,https://www.tvmaze.com/shows/41648/sim-for-you,Sim for You,Reality,Korean,[],Running,16.0,16.0,2019-03-25,,https://www.vlive.tv/video/121637,71,,,<p><b>Sim for You</b> is a reality series that chronicles each EXO member's life and reveal stories from their everyday life as a series.</p>,1608499007
51065,https://www.tvmaze.com/shows/51065/stand-up-autsajd,Stand Up Аутсайд,Variety,Russian,[],Ended,40.0,28.0,2020-10-13,2020-12-31,https://premier.one/show/13734,3,,,<p>Solo performances of stand-up comedians from the underground and popular TV and Internet projects. Each new release is a new concert with its own atmosphere and humor.</p>,1616719192
52198,https://www.tvmaze.com/shows/52198/kotiki,Котики,Scripted,Russian,['Comedy'],Ended,12.0,12.0,2020-11-30,2020-12-11,http://epic-media.ru/project/kotiki,15,,,,1637555191
52933,https://www.tvmaze.com/shows/52933/lab-s-antonom-belaevym,LAB с Антоном Беляевым,Documentary,Russian,['Music'],Running,26.0,25.0,2019-12-17,,https://hd.kinopoisk.ru/film/41a971dd517a30f9b86d20def219c326,15,"{'id': 308, 'name': 'ТНТ', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}",,<p>Russian music artists reveal themselves from unexpected sides in the Anton Belyaev's show.</p>,1641807804
51336,https://www.tvmaze.com/shows/51336/core-sense,Core Sense,Animation,Chinese,"['Action', 'Anime', 'Science-Fiction']",Running,24.0,24.0,2020-10-13,,https://www.bilibili.com/bangumi/media/md28223064,37,,,"<p>The power of beginnings, the energy of the core stone; one may find it good, one may find it evil. During a normal investigation, Yue Juntian finds himself drawn into the battle between the 'beginnings' of Yun City; Jiang Xin arrives in Yun City to stop Li Zunyuan's plan to take over. The two influence each other - one solves the mystery of their birth, the other redeems themselves. Together, they oppose Li Zunyuan.<br /> </p>",1604587119
54033,https://www.tvmaze.com/shows/54033/wu-shen-zhu-zai,Wu Shen Zhu Zai,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Running,8.0,8.0,2020-03-08,,https://v.qq.com/detail/m/7q544xyrava3vxf.html,76,,,"<p>The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.<br /><br />Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen's will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father's birth, the mother and son were treated coldly in Dingwu's palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again.</p>",1649423444
55002,https://www.tvmaze.com/shows/55002/no-turning-back-romance,No Turning Back Romance,Scripted,Korean,[],Ended,,12.0,2020-12-08,2021-01-06,,20,,,"<p>A teen romance of So Dam, a sixteen-year-old girl, who has never dated before but she receives her first-ever love confession from a mysterious boy. She is looking for the boy who secretly confessed to her while she was asleep on her desk. The clues include a male voice, mango fruit scent and gym uniform. She must piece the puzzle to find that person among the likely candidates that include hot shots Park Ji Hoo, Jeong Han Kyul, and Joo In Hyuk.</p>",1621617231
52038,https://www.tvmaze.com/shows/52038/please-wait-brother,"Please Wait, Brother",Scripted,Chinese,['Comedy'],Ended,37.0,37.0,2020-11-17,2020-12-08,,14,,,,1607697965
52038,https://www.tvmaze.com/shows/52038/please-wait-brother,"Please Wait, Brother",Scripted,Chinese,['Comedy'],Ended,37.0,37.0,2020-11-17,2020-12-08,,14,,,,1607697965
55016,https://www.tvmaze.com/shows/55016/ling-jian-zun,Ling Jian Zun,Animation,Chinese,['Anime'],Running,10.0,10.0,2019-01-15,,https://v.qq.com/x/cover/2w2legt0g8z26al.html,45,,,"<p>The strong man was attacked and returned to his youth. He became the weakest waste young lord. He will never let go of the enemy of the previous life in this life and must make up the regret of the previous life in this life! By the time the Spirit Sword is powerful, the protagonist will be supreme in the three worlds between heaven and earth! If there is someone doesn't obey him, he will kill him with the sword!</p><p><br /> </p>",1640703283
